id_before,govid_before,govname_before,award_before,year_before,name_before,affiliation_before,deceased_before,profile_url,membership_type_before,primary_section_before,biographical_memoir_available_before,public_welfare_medal_before,secondary_section_before,location_before,id_after,govid_after,govname_after,award_after,year_after,name_after,affiliation_after,deceased_after,membership_type_after,primary_section_after,biographical_memoir_available_after,public_welfare_medal_after,secondary_section_after,location_after
2023,222,National Academy of Sciences,NAS Member,2021,Robert S. Anderson,University of Colorado Boulder,,https://www.nasonline.org/directory-entry/robert-s-anderson-whgbv0/,Member,Section 15: Geology,,,Section 16: Geophysics,,2023,222,National Academy of Sciences,NAS Member,2021,Robert S. Anderson,Colorado State University,,Member,Section 15: Geology,,,Section 16: Geophysics,
2023,222,National Academy of Sciences,NAS Member,1968,Kenneth J. Arrow,Stanford University,Y,https://www.nasonline.org/directory-entry/kenneth-j-arrow-1oxqtm/,Member,Section 54: Economic Sciences,Yes,,Section 64: Human Environmental Sciences,,2023,222,National Academy of Sciences,NAS Member,1968,Kenneth J. Arrow,San Diego State University,Y,Member,Section 54: Economic Sciences,Yes,,Section 64: Human Environmental Sciences,
2023,222,National Academy of Sciences,NAS Member,1974,K. Frank Austen,Brigham and Women's Hospital,Y,https://www.nasonline.org/directory-entry/k-frank-austen-yysupq/,Member,Section 43: Immunology and Inflammation,No,,Section 42: Medical Physiology and Metabolism,,2023,222,National Academy of Sciences,NAS Member,1974,K. Frank Austen,Brigham and Women's Hospital,Y,Member,Section 43: Immunology and Inflammation,Yes,,Section 42: Medical Physiology and Metabolism,
2023,222,National Academy of Sciences,NAS Member,2019,Leon Balents,"University of California, Santa Barbara",,https://www.nasonline.org/directory-entry/leon-balents-pnrb9j/,Member,Section 13: Physics,,,Section 33: Applied Physical Sciences,,2023,222,National Academy of Sciences,NAS Member,2019,Leon Balents,"University of California, Santa Barbara",,Member,Section 13: Physics,,,Section 27: Evolutionary Biology,
2023,222,National Academy of Sciences,NAS Member,2005,S. Jocelyn Bell Burnell,University of Oxford,,https://www.nasonline.org/directory-entry/s-jocelyn-bell-burnell-lo98ba/,International Member,Section 12: Astronomy,,,Section 13: Physics,,2023,222,National Academy of Sciences,NAS Member,2005,S. Jocelyn Bell Burnell,University of Oxford,,International Member,Section 15: Geology,,,Section 13: Physics,
2023,222,National Academy of Sciences,NAS Member,2025,Yoshua Bengio,Universite de Montreal,,https://www.nasonline.org/directory-entry/yoshua-bengio-2me5bl/,International Member,Section 34: Computer and Information Sciences,,,,,2023,222,National Academy of Sciences,NAS Member,2025,Yoshua Bengio,Universite de Montreal,,International Member,Section 15: Geology,,,,
2023,222,National Academy of Sciences,NAS Member,1883,M. P. E. Berthelot,,Y,https://www.nasonline.org/directory-entry/m-p-e-berthelot-kblvww/,International Member,,No,,,,2023,222,National Academy of Sciences,NAS Member,1883,M. P. E. Berthelot,Universite de Montreal,Y,International Member,,No,,,
2023,222,National Academy of Sciences,NAS Member,1991,James W. Black,King's College,Y,https://www.nasonline.org/directory-entry/james-w-black-ugpyae/,International Member,Section 23: Physiology and Pharmacology,No,,,,2023,222,National Academy of Sciences,NAS Member,1991,James W. Black,The Pennsylvania State University - University Park,Y,International Member,Section 23: Physiology and Pharmacology,No,,,
2023,222,National Academy of Sciences,NAS Member,1936,Eliot Blackwelder,Stanford University,Y,https://www.nasonline.org/directory-entry/eliot-blackwelder-6ywzwz/,Member,,Yes,,,,2023,222,National Academy of Sciences,NAS Member,1936,Eliot Blackwelder,The Pennsylvania State University - University Park,Y,Member,,Yes,,,
2023,222,National Academy of Sciences,NAS Member,2023,Ralph Bock,Max Planck Institute of Molecular Plant Physiology,,https://www.nasonline.org/directory-entry/ralph-bock-1hthiw/,International Member,Section 25: Plant Biology,,,"Section 62: Plant, Soil, and Microbial Sciences",,2023,222,National Academy of Sciences,NAS Member,2019,Ralph Bock,Max Planck Institute of Molecular Plant Physiology,,International Member,Section 25: Plant Biology,,,"Section 62: Plant, Soil, and Microbial Sciences",
2023,222,National Academy of Sciences,NAS Member,2012,Nancy M. Bonini,University of Pennsylvania,,https://www.nasonline.org/directory-entry/nancy-m-bonini-17u8dy/,Member,Section 26: Genetics,,,Section 24: Cellular and Molecular Neuroscience,,2023,222,National Academy of Sciences,NAS Member,2023,Nancy M. Bonini,University of Pennsylvania,,Member,Section 26: Genetics,,,Section 24: Cellular and Molecular Neuroscience,
2023,222,National Academy of Sciences,NAS Member,1985,Herbert W. Boyer,"University of California, San Francisco",,https://www.nasonline.org/directory-entry/herbert-w-boyer-hrrzg4/,Member,Section 21: Biochemistry,,,,,2023,222,National Academy of Sciences,NAS Member,1985,Herbert W. Boyre,"University of California, San Francisco",,Member,Section 21: Biochemistry,,,,
2023,222,National Academy of Sciences,NAS Member,2012,Susan L. Brantley,The Pennsylvania State University - University Park,,https://www.nasonline.org/directory-entry/susan-l-brantley-l3q2sz/,Member,Section 15: Geology,,,,,2023,222,National Academy of Sciences,NAS Member,2012,Susan L. Brantley,The Pennsylvania State University - University Park,,International Member,Section 15: Geology,,,,
2023,222,National Academy of Sciences,NAS Member,1998,William A. Brock,University of Wisconsin-Madison,,https://www.nasonline.org/directory-entry/william-a-brock-esuged/,Member,Section 54: Economic Sciences,,,,,2023,222,National Academy of Sciences,NAS Member,1998,William A. Brock,University of Wisconsin-Madison,,Emeritus,Section 54: Economic Sciences,,,,
2023,222,National Academy of Sciences,NAS Member,1947,Johannes N. Brønsted,,Y,https://www.nasonline.org/directory-entry/johannes-n-bronsted-kbnlw1/,International Member,,No,,,,2023,222,National Academy of Sciences,NAS Member,1947,Johannes N. Brønsted,,Y,Emeritus,,No,,,
2023,222,National Academy of Sciences,NAS Member,1975,Chandler M. Brooks,State University of New York,Y,https://www.nasonline.org/directory-entry/chandler-m-brooks-tf3ea5/,Member,Section 23: Physiology and Pharmacology,Yes,,,,2023,222,National Academy of Sciences,NAS Member,1975,Chandler M. Brooks,State University of New York,Y,Emeritus,Section 23: Physiology and Pharmacology,Yes,,,
2023,222,National Academy of Sciences,NAS Member,1962,Harvey Brooks,Harvard University,Y,https://www.nasonline.org/directory-entry/harvey-brooks-hgytv9/,Member,Section 33: Applied Physical Sciences,Yes,,,,2023,222,National Academy of Sciences,NAS Member,1962,Harvey Brooks,Harvard University,Y,Emeritus,Section 33: Applied Physical Sciences,Yes,,,
2023,222,National Academy of Sciences,NAS Member,1867,C. H. C. Burmeister,,Y,https://www.nasonline.org/directory-entry/c-h-c-burmeister-2j6de8/,International Member,,No,,,,2023,222,National Academy of Sciences,NAS Member,1867,C. H. C. Burmeister,,Y,International Member,,Yes,,,
2023,222,National Academy of Sciences,NAS Member,2014,Cynthia J. Burrows,University of Utah,,https://www.nasonline.org/directory-entry/cynthia-j-burrows-ebcden/,Member,Section 14: Chemistry,,,,,2023,222,National Academy of Sciences,NAS Member,2014,Cynthia J. Burrows,University of Utah,,Member,Section 64: Human Environmental Sciences,,,,
2023,222,National Academy of Sciences,NAS Member,2017,György Buzsáki,New York University Langone Medical Center,,https://www.nasonline.org/directory-entry/gyorgy-buzsaki-txgqks/,Member,Section 28: Systems Neuroscience,,,Section 52: Psychological and Cognitive Sciences,,2023,222,National Academy of Sciences,NAS Member,2017,György Buzsáki,New York University Langone Medical Center,,Emeritus,Section 28: Systems Neuroscience,,,Section 52: Psychological and Cognitive Sciences,
2023,222,National Academy of Sciences,NAS Member,1946,Perry Byerly,"University of California, Berkeley",Y,https://www.nasonline.org/directory-entry/perry-byerly-7erhyf/,Member,,Yes,,,,2023,222,National Academy of Sciences,NAS Member,1946,Perry Byerly,"University of California, Berkeley",Y,Emeritus,,Yes,,,
