id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-t-beck/,1997,Aaron T. Beck,University of Pennsylvania Health System,Pennsylvania,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anna-huttenlocher/,2015,Anna Huttenlocher,University of Wisconsin School of Medicine and Public Health,Wisconsin,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/betsy-l-humphreys/,1999,Betsy L. Humphreys,No Affiliation,Virginia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bradley-t-hyman/,2014,Bradley T. Hyman,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/holly-humphrey/,2020,Holly Humphrey,"Josiah Macy, Jr. Foundation",New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/john-c-beck/,1980,John C. Beck,"University of California, Los Angeles School of Medicine",,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/lance-b-becker-m-d/,2006,Lance B. Becker M.D.,Northwell Health,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/mark-s-humayun/,2009,Mark S. Humayun,University of Southern California Keck School of Medicine,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/nola-m-hylton/,2024,Nola M. Hylton,"University of California, San Francisco",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/peter-barton-hutt/,1971,Peter Barton Hutt,Covington & Burling LLP,District of Columbia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/richard-o-hynes/,1995,Richard O. Hynes,Massachusetts Institute of Technology,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/scott-j-hultgren/,2017,Scott J. Hultgren,Washington University School of Medicine in St. Louis,Missouri,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/steven-e-hyman/,2000,Steven E. Hyman,Harvard University,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/tony-hunter/,2004,Tony Hunter,Salk Institute for Biological Studies,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/yasmin-l-hurd/,2017,Yasmin L. Hurd,Icahn School of Medicine at Mount Sinai,New York,
